id;age;job;education;default;day_of_week;duration;campaign;previous;cons.conf.idx;euribor3m;nr.employed;class
1;55-64;housemaid;basic.4y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
2;55-64;services;high.school;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
3;35-44;services;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
4;35-44;admin.;basic.6y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
5;55-64;services;high.school;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
6;45-54;services;basic.9y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
7;55-64;admin.;professional.course;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
8;35-44;blue-collar;unknown;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
9;25-34;technician;professional.course;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
10;17-24;services;high.school;no;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
11;35-44;blue-collar;unknown;unknown;mon;between 0-1;1;0;Above -40;4.6-5.1;Above 52k;no
12;17-24;services;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
13;17-24;blue-collar;high.school;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
14;55-64;housemaid;basic.4y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
15;35-44;blue-collar;basic.6y;no;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
16;45-54;retired;basic.9y;unknown;mon;between 2 - 5;1;0;Above -40;4.6-5.1;Above 52k;no
17;35-44;blue-collar;basic.6y;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
18;45-54;blue-collar;basic.6y;unknown;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
19;45-54;blue-collar;basic.9y;no;mon;between 6-10;1;0;Above -40;4.6-5.1;Above 52k;no
