,id,age,job,education,default,day_of_week,duration,campaign,previous,cons.conf.idx,euribor3m,nr.employed,class
0,1,55-64,housemaid,basic.4y,0,0,2,1,0,2,4,Above 52k,no
1,2,55-64,services,high.school,2,0,2,1,0,2,4,Above 52k,no
2,3,35-44,services,high.school,0,0,2,1,0,2,4,Above 52k,no
3,4,35-44,admin.,basic.6y,0,0,2,1,0,2,4,Above 52k,no
4,5,55-64,services,high.school,0,0,3,1,0,2,4,Above 52k,no
5,6,45-54,services,basic.9y,2,0,2,1,0,2,4,Above 52k,no
6,7,55-64,admin.,professional.course,0,0,2,1,0,2,4,Above 52k,no
7,8,35-44,blue-collar,unknown,2,0,2,1,0,2,4,Above 52k,no
8,9,25-34,technician,professional.course,0,0,3,1,0,2,4,Above 52k,no
9,10,17-24,services,high.school,0,0,1,1,0,2,4,Above 52k,no
10,11,35-44,blue-collar,unknown,2,0,1,1,0,2,4,Above 52k,no
11,12,17-24,services,high.school,0,0,2,1,0,2,4,Above 52k,no
